Year	Industry	Status of innovation activity	Information	Innovation activity of enterprises by industry
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Process innovations; business practices or external relations, number of enterprises (no.)	22
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	62
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Process innovations; marketing methods, number of enterprises (no.)	35
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Process innovations developed by enterprise, number of enterprises (no.)	95
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Process innovations developed together with others, number of enterprises (no.)	83
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Enterprise modified processes developed by others, number of enterprises (no.)	7
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Process innovations developed by others, number of enterprises (no.)	2
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Innovations, number of enterprises (no.)	172
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Innovation activities, number of enterprises (no.)	113
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Ongoing innovation activities, number of enterprises (no.)	100
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Abandoned innovation activities, number of enterprises (no.)	50
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Completed innovation activitiess, number of enterprises (no.)	42
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Innovation activity, number of enterprises (no.)	222
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	In-house research and development (R&D), number of enterprises (no.)	165
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Continuous in-house R&D, number of enterprises (no.)	63
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Occasional in-house R&D, number of enterprises (no.)	101
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	Contract-out R&D, number of enterprises (no.)	94
2022	C22-23 Manufacture of rubber, plastic products, and other non-metallic mineral products	Enterprises with innovation activity	In-house or contracted-out R&D, number of enterprises (no.)	165
2022	C24 Manufacture of basic metals	Total number of enterprises	Number of enterprises (no.)	56
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations (goods or services), share of enterprises (%)	22.1
2022	C24 Manufacture of basic metals	Total number of enterprises	Goods innovations, share of enterprises (%)	22.1
2022	C24 Manufacture of basic metals	Total number of enterprises	Service innovations, share of enterprises (%)	13.0
2022	C24 Manufacture of basic metals	Total number of enterprises	Only goods innovations, no service innovations, share of enterprises (%)	9.1
2022	C24 Manufacture of basic metals	Total number of enterprises	Only service innovations, no goods innovations, share of enterprises (%)	0.0
2022	C24 Manufacture of basic metals	Total number of enterprises	Both goods and service innovations, share of enterprises (%)	13.0
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new to market, share of enterprises (%)	14.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new to enterprise, share of enterprises (%)	22.1
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new only to market, not to enterprise, share of enterprises (%)	0.0
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new only to enterprise, not to market, share of enterprises (%)	7.5
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new both to market and to enterprise, share of enterprises (%)	14.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations developed by enterprise, share of enterprises (%)	22.1
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations developed together with others, share of enterprises (%)	14.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Enterprise modified products developed by others, share of enterprises (%)	5.9
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations developed by others, share of enterprises (%)	2.0
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations, share of enterprises (%)	55.4
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; production or development methods, share of enterprises (%)	49.9
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	13.3
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; ICT or information processing, share of enterprises (%)	26.2
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; accounting or other administrative operations, share of enterprises (%)	12.9
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; business practices or external relations, share of enterprises (%)	14.9
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	7.5
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; marketing methods, share of enterprises (%)	9.5
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations developed by enterprise, share of enterprises (%)	38.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations developed together with others, share of enterprises (%)	22.5
2022	C24 Manufacture of basic metals	Total number of enterprises	Enterprise modified processes developed by others, share of enterprises (%)	14.9
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations developed by others, share of enterprises (%)	7.5
2022	C24 Manufacture of basic metals	Total number of enterprises	Innovations, share of enterprises (%)	57.4
2022	C24 Manufacture of basic metals	Total number of enterprises	Innovation activities, share of enterprises (%)	53.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Ongoing innovation activities, share of enterprises (%)	46.2
2022	C24 Manufacture of basic metals	Total number of enterprises	Abandoned innovation activities, share of enterprises (%)	29.8
2022	C24 Manufacture of basic metals	Total number of enterprises	Completed innovation activitiess, share of enterprises (%)	24.4
2022	C24 Manufacture of basic metals	Total number of enterprises	Innovation activity, share of enterprises (%)	68.4
2022	C24 Manufacture of basic metals	Total number of enterprises	In-house research and development (R&D), share of enterprises (%)	50.1
2022	C24 Manufacture of basic metals	Total number of enterprises	Continuous in-house R&D, share of enterprises (%)	26.4
2022	C24 Manufacture of basic metals	Total number of enterprises	Occasional in-house R&D, share of enterprises (%)	23.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Contract-out R&D, share of enterprises (%)	46.5
2022	C24 Manufacture of basic metals	Total number of enterprises	In-house or contracted-out R&D, share of enterprises (%)	53.6
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations (goods or services), number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Total number of enterprises	Goods innovations, number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Total number of enterprises	Service innovations, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Total number of enterprises	Only goods innovations, no service innovations, number of enterprises (no.)	5
2022	C24 Manufacture of basic metals	Total number of enterprises	Only service innovations, no goods innovations, number of enterprises (no.)	0
2022	C24 Manufacture of basic metals	Total number of enterprises	Both goods and service innovations, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new to market, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new to enterprise, number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new only to market, not to enterprise, number of enterprises (no.)	0
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new only to enterprise, not to market, number of enterprises (no.)	4
2022	C24 Manufacture of basic metals	Total number of enterprises	Products new both to market and to enterprise, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations developed by enterprise, number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations developed together with others, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Total number of enterprises	Enterprise modified products developed by others, number of enterprises (no.)	3
2022	C24 Manufacture of basic metals	Total number of enterprises	Product innovations developed by others, number of enterprises (no.)	1
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations, number of enterprises (no.)	31
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; production or development methods, number of enterprises (no.)	28
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; ICT or information processing, number of enterprises (no.)	15
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; accounting or other administrative operations, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; business practices or external relations, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	4
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations; marketing methods, number of enterprises (no.)	5
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations developed by enterprise, number of enterprises (no.)	22
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations developed together with others, number of enterprises (no.)	13
2022	C24 Manufacture of basic metals	Total number of enterprises	Enterprise modified processes developed by others, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Total number of enterprises	Process innovations developed by others, number of enterprises (no.)	4
2022	C24 Manufacture of basic metals	Total number of enterprises	Innovations, number of enterprises (no.)	32
2022	C24 Manufacture of basic metals	Total number of enterprises	Innovation activities, number of enterprises (no.)	30
2022	C24 Manufacture of basic metals	Total number of enterprises	Ongoing innovation activities, number of enterprises (no.)	26
2022	C24 Manufacture of basic metals	Total number of enterprises	Abandoned innovation activities, number of enterprises (no.)	17
2022	C24 Manufacture of basic metals	Total number of enterprises	Completed innovation activitiess, number of enterprises (no.)	14
2022	C24 Manufacture of basic metals	Total number of enterprises	Innovation activity, number of enterprises (no.)	38
2022	C24 Manufacture of basic metals	Total number of enterprises	In-house research and development (R&D), number of enterprises (no.)	28
2022	C24 Manufacture of basic metals	Total number of enterprises	Continuous in-house R&D, number of enterprises (no.)	15
2022	C24 Manufacture of basic metals	Total number of enterprises	Occasional in-house R&D, number of enterprises (no.)	13
2022	C24 Manufacture of basic metals	Total number of enterprises	Contract-out R&D, number of enterprises (no.)	26
2022	C24 Manufacture of basic metals	Total number of enterprises	In-house or contracted-out R&D, number of enterprises (no.)	30
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Number of enterprises (no.)	38
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations (goods or services), share of enterprises (%)	32.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Goods innovations, share of enterprises (%)	32.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Service innovations, share of enterprises (%)	19.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Only goods innovations, no service innovations, share of enterprises (%)	13.3
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Only service innovations, no goods innovations, share of enterprises (%)	0.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Both goods and service innovations, share of enterprises (%)	19.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new to market, share of enterprises (%)	21.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new to enterprise, share of enterprises (%)	32.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new only to market, not to enterprise, share of enterprises (%)	0.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new only to enterprise, not to market, share of enterprises (%)	11.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new both to market and to enterprise, share of enterprises (%)	21.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations developed by enterprise, share of enterprises (%)	32.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations developed together with others, share of enterprises (%)	21.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Enterprise modified products developed by others, share of enterprises (%)	8.6
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations developed by others, share of enterprises (%)	2.9
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations, share of enterprises (%)	81.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; production or development methods, share of enterprises (%)	72.9
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	19.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; ICT or information processing, share of enterprises (%)	38.3
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, share of enterprises (%)	18.9
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; business practices or external relations, share of enterprises (%)	21.8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	11.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; marketing methods, share of enterprises (%)	13.8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations developed by enterprise, share of enterprises (%)	56.3
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations developed together with others, share of enterprises (%)	32.9
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Enterprise modified processes developed by others, share of enterprises (%)	21.8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations developed by others, share of enterprises (%)	11.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Innovations, share of enterprises (%)	83.8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Innovation activities, share of enterprises (%)	78.2
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Ongoing innovation activities, share of enterprises (%)	67.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Abandoned innovation activities, share of enterprises (%)	43.5
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Completed innovation activitiess, share of enterprises (%)	35.6
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Innovation activity, share of enterprises (%)	100.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	In-house research and development (R&D), share of enterprises (%)	73.2
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Continuous in-house R&D, share of enterprises (%)	38.6
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Occasional in-house R&D, share of enterprises (%)	34.6
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Contract-out R&D, share of enterprises (%)	68.0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	In-house or contracted-out R&D, share of enterprises (%)	78.4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations (goods or services), number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Goods innovations, number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Service innovations, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Only goods innovations, no service innovations, number of enterprises (no.)	5
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Only service innovations, no goods innovations, number of enterprises (no.)	0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Both goods and service innovations, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new to market, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new to enterprise, number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new only to market, not to enterprise, number of enterprises (no.)	0
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new only to enterprise, not to market, number of enterprises (no.)	4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Products new both to market and to enterprise, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations developed by enterprise, number of enterprises (no.)	12
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations developed together with others, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Enterprise modified products developed by others, number of enterprises (no.)	3
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Product innovations developed by others, number of enterprises (no.)	1
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations, number of enterprises (no.)	31
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; production or development methods, number of enterprises (no.)	28
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; ICT or information processing, number of enterprises (no.)	15
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, number of enterprises (no.)	7
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; business practices or external relations, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations; marketing methods, number of enterprises (no.)	5
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations developed by enterprise, number of enterprises (no.)	22
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations developed together with others, number of enterprises (no.)	13
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Enterprise modified processes developed by others, number of enterprises (no.)	8
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Process innovations developed by others, number of enterprises (no.)	4
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Innovations, number of enterprises (no.)	32
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Innovation activities, number of enterprises (no.)	30
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Ongoing innovation activities, number of enterprises (no.)	26
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Abandoned innovation activities, number of enterprises (no.)	17
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Completed innovation activitiess, number of enterprises (no.)	14
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Innovation activity, number of enterprises (no.)	38
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	In-house research and development (R&D), number of enterprises (no.)	28
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Continuous in-house R&D, number of enterprises (no.)	15
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Occasional in-house R&D, number of enterprises (no.)	13
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	Contract-out R&D, number of enterprises (no.)	26
2022	C24 Manufacture of basic metals	Enterprises with innovation activity	In-house or contracted-out R&D, number of enterprises (no.)	30
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Number of enterprises (no.)	835
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations (goods or services), share of enterprises (%)	25.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Goods innovations, share of enterprises (%)	20.4
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Service innovations, share of enterprises (%)	12.8
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Only goods innovations, no service innovations, share of enterprises (%)	12.9
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Only service innovations, no goods innovations, share of enterprises (%)	5.2
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Both goods and service innovations, share of enterprises (%)	7.5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new to market, share of enterprises (%)	16.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new to enterprise, share of enterprises (%)	21.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new only to market, not to enterprise, share of enterprises (%)	4.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new only to enterprise, not to market, share of enterprises (%)	9.0
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new both to market and to enterprise, share of enterprises (%)	12.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations developed by enterprise, share of enterprises (%)	19.8
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations developed together with others, share of enterprises (%)	13.0
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Enterprise modified products developed by others, share of enterprises (%)	1.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations developed by others, share of enterprises (%)	0.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations, share of enterprises (%)	44.7
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; production or development methods, share of enterprises (%)	33.0
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	6.7
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; ICT or information processing, share of enterprises (%)	19.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; accounting or other administrative operations, share of enterprises (%)	16.0
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; business practices or external relations, share of enterprises (%)	6.2
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	18.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; marketing methods, share of enterprises (%)	14.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations developed by enterprise, share of enterprises (%)	28.5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations developed together with others, share of enterprises (%)	20.5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Enterprise modified processes developed by others, share of enterprises (%)	3.5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations developed by others, share of enterprises (%)	4.5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Innovations, share of enterprises (%)	53.2
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Innovation activities, share of enterprises (%)	16.2
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Ongoing innovation activities, share of enterprises (%)	14.1
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Abandoned innovation activities, share of enterprises (%)	7.2
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Completed innovation activitiess, share of enterprises (%)	7.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Innovation activity, share of enterprises (%)	58.5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	In-house research and development (R&D), share of enterprises (%)	33.6
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Continuous in-house R&D, share of enterprises (%)	13.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Occasional in-house R&D, share of enterprises (%)	20.3
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Contract-out R&D, share of enterprises (%)	20.2
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	In-house or contracted-out R&D, share of enterprises (%)	35.7
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations (goods or services), number of enterprises (no.)	214
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Goods innovations, number of enterprises (no.)	171
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Service innovations, number of enterprises (no.)	107
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Only goods innovations, no service innovations, number of enterprises (no.)	108
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Only service innovations, no goods innovations, number of enterprises (no.)	44
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Both goods and service innovations, number of enterprises (no.)	63
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new to market, number of enterprises (no.)	139
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new to enterprise, number of enterprises (no.)	178
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new only to market, not to enterprise, number of enterprises (no.)	36
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new only to enterprise, not to market, number of enterprises (no.)	75
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Products new both to market and to enterprise, number of enterprises (no.)	103
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations developed by enterprise, number of enterprises (no.)	165
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations developed together with others, number of enterprises (no.)	108
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Enterprise modified products developed by others, number of enterprises (no.)	13
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Product innovations developed by others, number of enterprises (no.)	5
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations, number of enterprises (no.)	373
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; production or development methods, number of enterprises (no.)	276
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	56
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; ICT or information processing, number of enterprises (no.)	161
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; accounting or other administrative operations, number of enterprises (no.)	133
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; business practices or external relations, number of enterprises (no.)	52
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	155
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations; marketing methods, number of enterprises (no.)	121
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations developed by enterprise, number of enterprises (no.)	238
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations developed together with others, number of enterprises (no.)	171
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Enterprise modified processes developed by others, number of enterprises (no.)	29
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Process innovations developed by others, number of enterprises (no.)	38
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Innovations, number of enterprises (no.)	444
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Innovation activities, number of enterprises (no.)	136
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Ongoing innovation activities, number of enterprises (no.)	118
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Abandoned innovation activities, number of enterprises (no.)	60
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Completed innovation activitiess, number of enterprises (no.)	61
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	Innovation activity, number of enterprises (no.)	489
2022	C25 Manufacture of fabricated metal products, except machinery and equipment	Total number of enterprises	In-house research and development (R&D), number of enterprises (no.)	281
