Year	Industry	Status of innovation activity	Information	Competence required by the enterprise from not important (1) to highly important (5) and sufficiency of competence by industry
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	13.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	16.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	1.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	7.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 5, competence at the needed level, share of enterprises (%)	9.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	5.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 4, competence at the needed level, share of enterprises (%)	22.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 3, competence at the needed level, share of enterprises (%)	30.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	4.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 2, competence at the needed level, share of enterprises (%)	20.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 1, competence at the needed level, share of enterprises (%)	4.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	5.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	12.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	9.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	13.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	16.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	16.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	17.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	2.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	5.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	4.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	5.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	10.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	5.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	22.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	19.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	17.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	6.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	7.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	1.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	22.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	26.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	9.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	15.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	7.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	27.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	9.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	34.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	6.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	8.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	1.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	5.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	1.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	2.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	6.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	8.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	14.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	15.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	18.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	9.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	5.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	6.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	7.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	5.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	11.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	3.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	16.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	6.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	22.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	10.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	17.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	1.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	5.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	4.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	5.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	4.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	16.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	2.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	22.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	13.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	7.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence not at the needed level, share of enterprises (%)	5.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 1, competence at the needed level, share of enterprises (%)	10.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Utilisation of intellectual property rights, importance 1, competence not at the needed level, share of enterprises (%)	12.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	1.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	1.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Total number of enterprises	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	1.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Number of enterprises (no.)	104
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	21.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	9.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	28.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	16.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	17.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	2.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	2.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 5, competence at the needed level, share of enterprises (%)	11.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	6.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 4, competence at the needed level, share of enterprises (%)	26.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 3, competence at the needed level, share of enterprises (%)	25.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	4.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 2, competence at the needed level, share of enterprises (%)	20.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 1, competence at the needed level, share of enterprises (%)	2.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	5.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	14.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	7.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	15.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	15.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	19.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	14.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	2.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	6.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	5.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	6.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	11.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	6.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	14.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	22.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	14.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	8.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	9.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	2.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	26.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	25.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	11.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	12.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	24.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	11.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	37.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	8.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	9.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	1.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	1.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	7.7
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	9.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	8.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	18.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	19.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	11.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	3.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	8.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	5.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	6.8
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	13.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	4.3
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	19.1
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	8.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	25.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	12.4
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	10.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	1.2
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	5.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	6.9
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	4.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	16.6
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	2.5
2022	C19-20 Manufacture of petroleum, chemicals and chemical products	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	23.7
